walls_artifacts_area,speculum_artifacts_area,cervix_specularities_area,os_specularities_area,walls_specularities_area,speculum_specularities_area,specularities_area,area_h_max_diff,rgb_cervix_r_mean,class
0.000291483,0.016850305,0.003351194,0,0,0.204350736,0.056411026,0.300466441,72.56089479,1
0.13246255,0.039886494,0.003694515,0,0,0.090613736,0.023912005,0.067048389,46.96904238,1
0.021698158,0.010501981,0.002045768,0,0.00336186,0.00019812,0.003110306,0.053062363,42.37104235,1
0.009944941,0.029686306,0.005111015,0,0.010391838,0.1444526,0.057396772,0.461644335,63.52556856,1
0,0,0.003083715,0,0.002152545,0.043532577,0.014709664,0.316231929,89.79843162,1
0,0,0.010547412,0,0.019385329,0.055490978,0.016852591,0.085102781,98.28591212,0
0,0,0.001133597,0,0,0.043687261,0.016518907,0.226305925,20.12631076,0
0,0,0.012744298,0.000281928,0,0.46340594,0.134364591,0.094924308,53.38462127,1
0,0,0.00325692,0,0,0.126668274,0.038728816,0.298877811,96.17377638,1
0,0,0,0,0,0.127850605,0.049792442,0.181830645,60.99549956,0
0,0,0.015809167,0.009866853,0.018139198,0.584953645,0.042962627,0.114999818,76.58859446,1
0.002908573,0,0.034235228,0.014617788,0.436639027,0.005193639,0.078385213,0.221173108,53.69488592,1
0,0,0.006683234,0.036113167,0.01652921,0.004140627,0.007980873,0.288508268,64.88053949,1
0,0,0.016050971,0,0.00169339,0.19435147,0.046198447,0.431819139,44.01149829,1
0,0,0.008940276,0,0.001967919,0.200242946,0.085074207,0.037950232,45.93890176,1
0,0.034099071,0.007969084,0,0,0.138316859,0.055798761,0.074590039,42.10331182,0
0.014660443,0,0,0,0.003593995,0,0.003593995,0,0,1
0.014465203,0,0,0,0.004703443,0.065510487,0.03638078,0,0,0
0,0,0.022672443,0.022382121,0.001817123,0,0.017660781,0.307860974,85.28215854,1
0.109079438,0.005625776,0.008304275,0,0.001145709,0.050142525,0.013616771,0.357409646,59.4254536,0
0,0,0.001974734,0,0,0.000616168,0.001576582,0.188352303,21.81951134,1
0.001446309,0,0.013725315,0.000279443,0.000201763,0,0.01028605,0.146582571,28.90354332,1
0,0,0.001010237,0,0,0,0.001010237,0.084933386,13.48694039,1
0,0.001001068,0.002582219,0,0,0.062503329,0.022571076,0.260586394,70.24970177,1
0.021194065,0,0,0,0.005645082,0,0.005645082,0,0,1
0.009831634,0,0,0,0.005669418,0,0.00469301,0,0,0
0.004260172,0,0.007973487,0,0.001530999,0.164267053,0.014991306,0.653803261,41.7194717,1
0,0.006800674,0.004249502,0,0,0.654462644,0.119238587,0.108411915,24.94323525,1
0,0,0.006932835,0,0,0,0.005394054,0.060948953,17.44676645,1
0,0,0.001696142,0.000974756,0,0,0.001362289,0.207350866,3.416988976,0
0.012311731,0,0.010541128,0.007176325,8.48E-05,0.021131168,0.008697223,0.132733981,55.14685741,1
0.022610539,0,0.01488234,0,0.001235615,0,0.009646233,0.217887742,33.34615216,1
0,0,5.19E-05,0,0,0.142060758,0.081474089,0,1.203386032,0
0,7.71E-05,0.001822544,0,0,0.046472725,0.012664699,0.429910604,61.53829114,0
0,0,0.031054856,0.005329219,0.006492894,0.209257894,0.119902895,0.297981265,57.06977573,1
0,0,0.008099517,0.029417085,0.100401118,0.134849078,0.069856363,0.170270035,75.99879072,1
0,0,0.00309379,0,0,0,0.002501102,0.094302548,29.08816555,0
0.19015429,0.00274332,0.001441169,0.004222099,0.002230509,0.14900656,0.030034654,0.110066912,26.99421728,1
0,0,0.000688798,0,0,0,0.000688798,0.149441614,4.458791512,1
0.017237553,0,0.002488664,0.037986677,0.009085344,0,0.003636853,0.200806593,9.380796881,1
0.052292221,0.307626321,0.005323725,0.00936568,0.022590502,0.1181481,0.031880633,0.232293535,38.52753383,1
0,0,0.003541952,0,0,0,0.003541952,0.58140674,43.2806959,1
0.018131248,0.003666821,0.10025962,0.017098274,0.158577043,0.199920043,0.116412985,0.68879505,79.85715702,1
0,0,0.011939027,0.011124414,0,0,0.011939027,0.045347744,100.5485638,1
0,0.000715758,0.004707415,0,0.025056229,0.175823526,0.087520205,0.255272861,16.56252643,0
0.014522761,0.078404387,0.021475737,0.001475335,0.045191913,0.068525975,0.038842085,0.207297878,63.39737017,1
0,0,0.003801198,0.001490032,0.001282636,0.224010276,0.101317594,0.155685543,34.80741511,1
0,0.011320684,0.010887967,0.001889778,0,0.355056591,0.09858077,0.535803616,29.78801453,0
0.016291515,0.003050443,0.015548812,0,0.002497936,0.361223229,0.118883474,0,24.90278185,0
0.01939293,0.017171841,0.100909824,0,0.049713347,0.448561967,0.161650176,0.151555413,88.17389526,1
0.025183396,0.014099686,0.001855335,0.004080882,0.004913103,0.116379641,0.070973746,0.248164569,43.93623337,1
0,0.088063083,0.009373013,0.000621908,0.02986389,0.153341616,0.059003967,0.113483806,41.7564201,1
0,0,0.017204147,0,0,0.268930293,0.16274613,0.321324478,37.39685107,0
0.056098882,0.03200126,0.087179409,0,0.135877952,0.126160921,0.110197368,0.642399125,104.3272031,0
0,0,0.011638845,0,0.024589437,0.287721479,0.098331767,0.257218302,35.877768,1
0,0,0.041172834,0,0.040643902,0.277988499,0.13100938,0,39.74872896,1
0.049856304,0,0.024458752,0.007274218,0.007395053,0.139297138,0.07158295,0.34148486,53.98583963,1
0.041218138,0.002985011,0.00406126,0.050409004,6.31E-05,0.183610178,0.04125747,0.363327385,13.58859483,1
0,0,0.002274945,0,0.103533392,0.486706094,0.216949941,0.089831429,66.53132472,1
0.278228964,0.021049496,0.009564358,0.019783571,0.018430108,0.106550278,0.088646772,0.316474031,28.33761501,1
0,9.00E-05,0.012171803,0,0.014779133,0.153196288,0.076260653,0.239987047,36.627612,1
0,0,0.046202425,0.071191007,0.055264581,0.159923573,0.105811618,0.224526842,85.60301235,1
0.339017353,0.010572577,0.015653556,0.067788242,0.001012526,0.309139909,0.142911809,0.156910051,37.65236171,1
0,0,0.004855261,0.039424825,0,0,0.004855261,0.067692006,88.09502351,1
0,0,0.020873155,0.000451885,0.148284179,0.129176892,0.081682259,0.188462852,35.53059793,1
0,0,0.032821046,0,0,0.248252387,0.127804864,0.267354884,66.89473121,1
0,0,0.010948704,0.030449827,0.017845875,0.383744948,0.108928047,0.189719031,38.41431863,1
0,0.001831538,0.013440343,0,0,0.128813314,0.08794879,0.19571568,33.34366416,1
0.031749474,0.032489415,0.02498131,0,0.09011231,0.143795002,0.10239518,0.332105004,34.76608187,1
0,0,0.008121694,0,0,0,0.008121694,0.18338558,64.34657866,1
0,0,0.016887715,0.01407918,0.00416424,0.147466012,0.143083244,0.274526715,34.14546765,1
0,0,0.048178702,0.00753395,0,0.110107139,0.077423957,0.086771362,48.83983751,1
0.009560899,0,0.013754404,0.015927431,0.003914636,0.300824597,0.074788156,0.09357615,22.05812157,1
0,0,0.002179297,0,0.09400991,0.264975543,0.152625392,0,48.51191881,1
0,0,0.001978852,0,0.007301301,0,0.003186678,0.151055985,24.9398308,1
0.369644337,0,0.002156948,0,6.95E-05,0,0.000910479,0.242628312,13.38505429,0
0.015593767,0.419739873,0.031356739,0,0.003491204,0.032226355,0.021025176,0,76.65859208,0
0.082467033,0.020402465,0.014148057,0,0,0.040322545,0.021053166,0,60.46705057,0
0,0,0.01004403,0.012483171,2.84E-05,0.000127642,0.004616477,0.23891037,53.55736067,1
0.000628524,0,0.005917494,0.012583472,0.000102804,0,0.002209314,0.184401129,65.98090761,0
0,0,0.011782323,0,0.006046047,0.119446977,0.042717721,0.245919254,88.40709041,1
0.292499411,0.00201688,0.004903838,0,0.001620234,0.116836358,0.047193378,0.156828276,74.81257561,1
0.0695851,0.037026573,0.030843479,0,0.000698933,0.065729939,0.040831946,0.472054871,89.85215132,1
0,0,0.019489036,0.156338925,0.001026856,0.353344542,0.083191492,0.154917441,72.03042321,1
0,0.017332052,0.009314941,0,0,0.400235312,0.072366649,0,80.1081399,0
0.35750685,0.000890756,0.013812845,0.009181233,0.000395232,0.067252096,0.040400299,0.392536101,58.33452264,1
0,0,0.001364813,0,0,0.194785232,0.040008449,0.182297893,31.86548498,0
0,0,0.02189526,0,0,0,0.015983175,0.104928747,73.46586199,0
0,0,0.006910614,0,0,0,0.011085056,0.458245803,36.27993553,1
0,0,0.014282337,0.038447257,0.002147047,0.342323452,0.060041756,0.30185736,74.76647203,1
0,0,0.001968432,0,0,0,0.001968432,0,87.55477016,0
0,0,0.011975901,0,0,0.393003517,0.011975901,0.45395768,37.25946562,0
